
"NR_TOWARU";"NAZWA_TOWARU";"DATA_ZAKUPU";"DOK_ZAKUPU";"SERIA";"KOD_KRESKOWY";"ILOSC_AKTUALNA";"STAN_FAKTYCZNY";"ILOSC_STAN";"CENA_ZAKUPU"
"2468";"Alcotest test 1 szt.";"2018.12.28";"FM/27013/18/DW";"41/17/18";"5907572329896";"0";"0";"0";"4.94"
"4233";"Aparat korekcyjny MARCIN II (na dzieñ) 2sz";"2019.03.13";"FM/6329/19/DW";"2018-12";"5901549025033";"0";"0";"0";"14.18"
"4233";"Aparat korekcyjny MARCIN II (na dzieñ) 2sz";"2019.05.25";"FM/12506/19/DW";"2019-05";"5901549025033";"1";"0";"0";"14.26"
"4233";"Aparat korekcyjny MARCIN II (na dzieñ) 2sz";"2019.04.15";"FV/81854/19/DW";"2019-04";"5901549025033";"0";"0";"0";"15.02"
"4543";"Aparat korekcyjny MARCIN z EKSPANDEREM 2sz";"2019.09.17";"FM/23021/19/DW";"2019-08";"5901549025002";"1";"0";"0";"27.97"
"4543";"Aparat korekcyjny MARCIN z EKSPANDEREM 2sz";"2019.08.16";"FM/20145/19/DW";"2019-07";"5901549025002";"0";"0";"0";"27.97"
"4543";"Aparat korekcyjny MARCIN z EKSPANDEREM 2sz";"2019.05.25";"FM/12506/19/DW";"2019-04";"5901549025002";"0";"0";"0";"27.97"
"4543";"Aparat korekcyjny MARCIN z EKSPANDEREM 2sz";"2019.04.10";"FV/78623/19/DW";"2019-03";"5901549025002";"0";"0";"0";"28.72"
"2458";"Atractin tabl.powl. 0,02g 30tabl.";"2018.11.19";"FV/266767/18/DW";;"5909990078264";"0";"0";"0";"12.47"
"2953";"BARWA Myd³o natur.szare d/myc.i prania 100";"2019.01.02";"136/FG/GD/19";"136/11/18";"5902305002862";"0";"0";"0";"1.73"
"2953";"BARWA Myd³o natur.szare d/myc.i prania 100";"2019.01.03";"832/FG/GD/19";"136/11/18";"5902305002862";"0";"0";"0";"1.73"
"2070";"Biofuroksym pr.dosp.roztw.dowst. 0,75g  ";"2019.02.22";"MM/DM/9/2019";;"5909990059416";"0";"0";"0";"5.99"
"2673";"Biowap Osteo D3 tabl. 60 tabl.";"2018.12.10";"FV/287976/18/DW";;"5906720535417";"0";"0";"0";"12.82"
"2093";"Blu Junior p³yn 150 ml";"2018.11.26";"FS20181107216";;"5904960010978";"0";"0";"0";"13.28"
"2094";"Blu Kid p³yn 150 ml";"2018.11.26";"FS20181107216";;"5904960010367";"0";"0";"0";"13.28"
"3698";"Chust. higieniczne Apsik 10 szt.";"2019.02.07";"FV/31333/19/DW";;"5901478005823";"0";"0";"0";"0.25"
"3698";"Chust. higieniczne Apsik 10 szt.";"2019.09.23";"FV/200318/19/DW";",,BRAK SERII""";"5901478005823";"50";"0";"0";"0.26"
"2107";"Chust.hig. BELLA NO 1 x10/klips/ 1 op.";"2019.01.07";"3136/FG/GD/19";"BRAK";"5901478005823";"0";"0";"0";"0.33"
"2107";"Chust.hig. BELLA NO 1 x10/klips/ 1 op.";"2018.11.24";"FV/274591/18/DW";;"5900516002770";"0";"0";"0";"4.18"
"3826";"Chusteczki hig. APTEO CARE x100 1 op.";"2019.04.18";"1555900283";"MTB134";"5907553014599";"16";"0";"0";"0.36"
"3826";"Chusteczki hig. APTEO CARE x100 1 op.";"2019.02.21";"1555611676";"MTB134";"5907553014599";"0";"0";"0";"3.54"
"3826";"Chusteczki hig. APTEO CARE x100 1 op.";"2019.02.15";"1555589411";"MTB134";"5907553014599";"0";"0";"0";"3.54"
"3826";"Chusteczki hig. APTEO CARE x100 1 op.";"2019.04.17";"1555898739";"MTB134";"5907553014599";"11";"0";"0";"0.36"
"3898";"Chusteczki hig. Soft APTEO CARE x10 1op.";"2019.04.18";"1555900283";"WIB13";"5907553014582";"13";"0";"0";"0.31"
"3898";"Chusteczki hig. Soft APTEO CARE x10 1op.";"2019.02.21";"1555611676";"WIB13";"5907553014582";"0";"0";"0";"0.31"
"3898";"Chusteczki hig. Soft APTEO CARE x10 1op.";"2019.04.17";"1555898739";"WIB13";"5907553014582";"0";"0";"0";"0.31"
"1889";"Ciœnien. UA-611 Zestaw ";"2018.11.22";"F/041057/18/MG";;"5907581254783";"0";"0";"0";"84.23"
"1889";"Ciœnien. UA-611 Zestaw ";"2019.08.16";"F/029253/19/MG";"060006581168";"5907581254783";"3";"0";"0";"89.28"
"1889";"Ciœnien. UA-611 Zestaw ";"2019.02.08";"F/005341/19/MG";"SN5180414915";"5907581254783";"0";"0";"0";"84.23"
"1889";"Ciœnien. UA-611 Zestaw ";"2019.04.18";"F/015555/19/MG";;"5907581254783";"0";"0";"0";"84.23"
"3978";"COLGATE CLASSIC Szczot.d/zêb. Medium 1szt.";"2019.02.22";"67199D/2019/WA";;"8590232000050";"0";"0";"0";"2.76"
"2155";"Collaflex duopack kaps.¿elatyn.twarde 120k";"2018.11.26";"FS20181107216";;"5904960010404";"0";"0";"0";"57.84"
"2156";"Colosan EX z probiotykami prosz. 240 g";"2018.11.26";"FS20181107216";;"5907559279404";"0";"0";"0";"14.46"
"2128";"D-Vitum  Witamina D 1000j.m.36 kaps twist ";"2018.11.26";"FS20181107216";;"5904960010688";"0";"0";"0";"10.35"
"5207";"D-Vitum 600 j.m. witaminy D DHA kaps.twist";"2019.06.24";"fs20190606037";"19141";"5904960014952";"1";"0";"0";"18.12"
"867";"D-Vitum 800 j.m. wit. D dla niem. 96szt.";"2018.11.26";"FS20181107216";;"5904960012460";"0";"0";"0";"18.63"
"2044";"D-Vitum forte 2000 j.m. kaps. 120 kaps.";"2018.11.26";"FS20181107216";;"5904960011241";"0";"0";"0";"25.97"
"868";"D-Vitum forte 2000 j.m. kaps. 60 kaps.";"2018.11.26";"FS20181107216";;"5904960011159";"0";"0";"0";"35.92"
"2125";"D-Vitum forte 4000 j.m. K2 kaps. 60kaps.";"2018.11.26";"FS20181107216";;"5904960013016";"0";"0";"0";"40.15"
"2124";"D-Vitum forte 4000 j.m. kaps. 120 kaps.";"2018.11.26";"FS20181107216";;"5904960013054";"0";"0";"0";"27.23"
"2046";"D-Vitum forte 4000 j.m. kaps. 60 kaps.";"2018.11.26";"FS20181107216";;"5904960013047";"0";"0";"0";"18.13"
"870";"D-Vitum forte Osteo tabl. 60 tabl.";"2018.11.26";"FS20181107216";;"5904960012415";"0";"0";"0";"21.02"
"2127";"D-Vitum IMMUNO EXTRA kaps. 30 kaps.";"2018.11.26";"FS20181107216";;"5904960012613";"0";"0";"0";"14.07"
"3652";"D-Vitum witamina D 1000 j.m. aer, 6ml";"2019.02.05";"FS20190200864";;"5904960011852";"0";"0";"0";"16.59"
"2129";"D-Vitum witamina D dla niem. 400 j.m. 96sz";"2018.11.26";"FS20181107216";"18203";"5904960011289";"0";"0";"0";"14.49"
"871";"D-Vitum witamina D dla niemowl¹t aer.6ml";"2018.11.26";"FS20181107216";;"5904960011852";"0";"0";"0";"13.66"
"2157";"Destresan max kaps. 24kaps.";"2018.11.26";"FS20181107216";"18287";"5904960010039";"0";"0";"0";"8.25"
"2159";"Destresan noc z melatonin¹ kaps. 24kaps.";"2018.11.26";"FS20181107216";;"5904960012255";"0";"0";"0";"8.85"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.01.10";"10347D/2019/WA";;"5907572329919";"0";"0";"0";"9.99"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.03.20";"102144D/2019/WA";;"5907572329919";"0";"0";"0";"10.18"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.02.19";"61605D/2019/WA";;"5907572329919";"0";"0";"0";"9.99"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.01.28";"32665D/2019/WA";;"5907572329919";"0";"0";"0";"9.99"
"1573";"Dr Scott Szczot.d/zêb.dla dzieci z minutni";"2019.08.13";"23977/FG/LC/19";"FR86W";"5907572329919";"1";"0";"0";"10.18"
